seq,submitted,processed,returned,result
227,2019-12-02 22:37:23.661000+00:00,2019-12-02 22:37:23.672000+00:00,2019-12-02 22:37:23.672000+00:00,CV_ERROR
228,2019-12-02 22:37:23.692000+00:00,2019-12-02 22:37:23.699000+00:00,2019-12-02 22:37:23.699000+00:00,CV_ERROR
229,2019-12-02 22:37:23.738000+00:00,2019-12-02 22:37:23.744000+00:00,2019-12-02 22:37:23.745000+00:00,CV_ERROR
230,2019-12-02 22:37:23.779000+00:00,2019-12-02 22:37:23.784000+00:00,2019-12-02 22:37:23.784000+00:00,CV_ERROR
231,2019-12-02 22:37:23.821000+00:00,2019-12-02 22:37:23.829000+00:00,2019-12-02 22:37:23.830000+00:00,CV_ERROR
232,2019-12-02 22:37:23.862000+00:00,2019-12-02 22:37:23.870000+00:00,2019-12-02 22:37:23.870000+00:00,CV_ERROR
233,2019-12-02 22:37:23.905000+00:00,2019-12-02 22:37:23.911000+00:00,2019-12-02 22:37:23.911000+00:00,CV_ERROR
234,2019-12-02 22:37:23.944000+00:00,2019-12-02 22:37:23.952000+00:00,2019-12-02 22:37:23.952000+00:00,CV_ERROR
235,2019-12-02 22:37:23.985000+00:00,2019-12-02 22:37:23.991000+00:00,2019-12-02 22:37:23.991000+00:00,CV_ERROR
236,2019-12-02 22:37:24.030000+00:00,2019-12-02 22:37:24.038000+00:00,2019-12-02 22:37:24.038000+00:00,CV_ERROR
237,2019-12-02 22:37:24.070000+00:00,2019-12-02 22:37:24.081000+00:00,2019-12-02 22:37:24.081000+00:00,CV_ERROR
238,2019-12-02 22:37:24.115000+00:00,2019-12-02 22:37:24.125000+00:00,2019-12-02 22:37:24.125000+00:00,CV_ERROR
239,2019-12-02 22:37:24.154000+00:00,2019-12-02 22:37:24.162000+00:00,2019-12-02 22:37:24.162000+00:00,CV_ERROR
240,2019-12-02 22:37:24.195000+00:00,2019-12-02 22:37:24.203000+00:00,2019-12-02 22:37:24.203000+00:00,CV_ERROR
241,2019-12-02 22:37:24.238000+00:00,2019-12-02 22:37:24.246000+00:00,2019-12-02 22:37:24.246000+00:00,CV_ERROR
242,2019-12-02 22:37:24.278000+00:00,2019-12-02 22:37:24.288000+00:00,2019-12-02 22:37:24.288000+00:00,CV_ERROR
243,2019-12-02 22:37:24.321000+00:00,2019-12-02 22:37:24.327000+00:00,2019-12-02 22:37:24.327000+00:00,CV_ERROR
244,2019-12-02 22:37:24.362000+00:00,2019-12-02 22:37:24.370000+00:00,2019-12-02 22:37:24.370000+00:00,CV_ERROR
245,2019-12-02 22:37:24.405000+00:00,2019-12-02 22:37:24.415000+00:00,2019-12-02 22:37:24.415000+00:00,CV_ERROR
246,2019-12-02 22:37:24.446000+00:00,2019-12-02 22:37:24.455000+00:00,2019-12-02 22:37:24.455000+00:00,CV_ERROR
247,2019-12-02 22:37:24.486000+00:00,2019-12-02 22:37:24.494000+00:00,2019-12-02 22:37:24.494000+00:00,CV_ERROR
248,2019-12-02 22:37:24.531000+00:00,2019-12-02 22:37:24.539000+00:00,2019-12-02 22:37:24.539000+00:00,CV_ERROR
249,2019-12-02 22:37:24.570000+00:00,2019-12-02 22:37:24.578000+00:00,2019-12-02 22:37:24.578000+00:00,CV_ERROR
250,2019-12-02 22:37:24.614000+00:00,2019-12-02 22:37:24.622000+00:00,2019-12-02 22:37:24.622000+00:00,CV_ERROR
251,2019-12-02 22:37:24.655000+00:00,2019-12-02 22:37:24.663000+00:00,2019-12-02 22:37:24.663000+00:00,CV_ERROR
252,2019-12-02 22:37:24.695000+00:00,2019-12-02 22:37:24.705000+00:00,2019-12-02 22:37:24.705000+00:00,CV_ERROR
253,2019-12-02 22:37:24.738000+00:00,2019-12-02 22:37:24.746000+00:00,2019-12-02 22:37:24.746000+00:00,CV_ERROR
254,2019-12-02 22:37:24.779000+00:00,2019-12-02 22:37:24.788000+00:00,2019-12-02 22:37:24.788000+00:00,CV_ERROR
255,2019-12-02 22:37:24.821000+00:00,2019-12-02 22:37:24.828000+00:00,2019-12-02 22:37:24.829000+00:00,CV_ERROR
256,2019-12-02 22:37:24.862000+00:00,2019-12-02 22:37:24.870000+00:00,2019-12-02 22:37:24.870000+00:00,CV_ERROR
257,2019-12-02 22:37:24.906000+00:00,2019-12-02 22:37:24.917000+00:00,2019-12-02 22:37:24.917000+00:00,CV_ERROR
258,2019-12-02 22:37:24.946000+00:00,2019-12-02 22:37:24.956000+00:00,2019-12-02 22:37:24.956000+00:00,CV_ERROR
259,2019-12-02 22:37:24.987000+00:00,2019-12-02 22:37:24.996000+00:00,2019-12-02 22:37:24.996000+00:00,CV_ERROR
260,2019-12-02 22:37:25.030000+00:00,2019-12-02 22:37:25.038000+00:00,2019-12-02 22:37:25.038000+00:00,CV_ERROR
261,2019-12-02 22:37:25.071000+00:00,2019-12-02 22:37:25.077000+00:00,2019-12-02 22:37:25.077000+00:00,CV_ERROR
262,2019-12-02 22:37:25.115000+00:00,2019-12-02 22:37:25.126000+00:00,2019-12-02 22:37:25.126000+00:00,CV_ERROR
263,2019-12-02 22:37:25.154000+00:00,2019-12-02 22:37:25.162000+00:00,2019-12-02 22:37:25.162000+00:00,CV_ERROR
264,2019-12-02 22:37:25.194000+00:00,2019-12-02 22:37:25.204000+00:00,2019-12-02 22:37:25.204000+00:00,CV_ERROR
265,2019-12-02 22:37:25.238000+00:00,2019-12-02 22:37:25.262000+00:00,2019-12-02 22:37:25.263000+00:00,JUNK_FRAME
266,2019-12-02 22:37:25.277000+00:00,2019-12-02 22:37:25.301000+00:00,2019-12-02 22:37:25.302000+00:00,JUNK_FRAME
267,2019-12-02 22:37:25.321000+00:00,2019-12-02 22:37:25.343000+00:00,2019-12-02 22:37:25.343000+00:00,JUNK_FRAME
268,2019-12-02 22:37:25.362000+00:00,2019-12-02 22:37:25.370000+00:00,2019-12-02 22:37:25.370000+00:00,CV_ERROR
269,2019-12-02 22:37:25.405000+00:00,2019-12-02 22:37:25.416000+00:00,2019-12-02 22:37:25.416000+00:00,CV_ERROR
270,2019-12-02 22:37:25.445000+00:00,2019-12-02 22:37:25.452000+00:00,2019-12-02 22:37:25.452000+00:00,CV_ERROR
271,2019-12-02 22:37:25.486000+00:00,2019-12-02 22:37:25.492000+00:00,2019-12-02 22:37:25.492000+00:00,CV_ERROR
272,2019-12-02 22:37:25.531000+00:00,2019-12-02 22:37:25.540000+00:00,2019-12-02 22:37:25.540000+00:00,CV_ERROR
273,2019-12-02 22:37:25.569000+00:00,2019-12-02 22:37:25.579000+00:00,2019-12-02 22:37:25.579000+00:00,CV_ERROR
274,2019-12-02 22:37:25.614000+00:00,2019-12-02 22:37:25.640000+00:00,2019-12-02 22:37:25.640000+00:00,JUNK_FRAME
275,2019-12-02 22:37:25.652000+00:00,2019-12-02 22:37:25.700000+00:00,2019-12-02 22:37:25.700000+00:00,JUNK_FRAME
276,2019-12-02 22:37:25.701000+00:00,2019-12-02 22:37:25.753000+00:00,2019-12-02 22:37:25.753000+00:00,JUNK_FRAME
277,2019-12-02 22:37:25.753000+00:00,2019-12-02 22:37:25.809000+00:00,2019-12-02 22:37:25.809000+00:00,JUNK_FRAME
278,2019-12-02 22:37:25.809000+00:00,2019-12-02 22:37:25.861000+00:00,2019-12-02 22:37:25.861000+00:00,JUNK_FRAME
280,2019-12-02 22:37:25.861000+00:00,2019-12-02 22:37:25.912000+00:00,2019-12-02 22:37:25.912000+00:00,JUNK_FRAME
281,2019-12-02 22:37:25.913000+00:00,2019-12-02 22:37:25.986000+00:00,2019-12-02 22:37:25.986000+00:00,JUNK_FRAME
283,2019-12-02 22:37:25.986000+00:00,2019-12-02 22:37:26.039000+00:00,2019-12-02 22:37:26.039000+00:00,JUNK_FRAME
284,2019-12-02 22:37:26.039000+00:00,2019-12-02 22:37:26.096000+00:00,2019-12-02 22:37:26.096000+00:00,JUNK_FRAME
285,2019-12-02 22:37:26.096000+00:00,2019-12-02 22:37:26.146000+00:00,2019-12-02 22:37:26.146000+00:00,JUNK_FRAME
286,2019-12-02 22:37:26.146000+00:00,2019-12-02 22:37:26.195000+00:00,2019-12-02 22:37:26.195000+00:00,JUNK_FRAME
288,2019-12-02 22:37:26.195000+00:00,2019-12-02 22:37:26.247000+00:00,2019-12-02 22:37:26.247000+00:00,JUNK_FRAME
289,2019-12-02 22:37:26.248000+00:00,2019-12-02 22:37:26.301000+00:00,2019-12-02 22:37:26.301000+00:00,JUNK_FRAME
290,2019-12-02 22:37:26.302000+00:00,2019-12-02 22:37:26.356000+00:00,2019-12-02 22:37:26.356000+00:00,JUNK_FRAME
291,2019-12-02 22:37:26.356000+00:00,2019-12-02 22:37:26.409000+00:00,2019-12-02 22:37:26.409000+00:00,JUNK_FRAME
293,2019-12-02 22:37:26.409000+00:00,2019-12-02 22:37:26.463000+00:00,2019-12-02 22:37:26.463000+00:00,JUNK_FRAME
294,2019-12-02 22:37:26.463000+00:00,2019-12-02 22:37:26.514000+00:00,2019-12-02 22:37:26.514000+00:00,JUNK_FRAME
295,2019-12-02 22:37:26.514000+00:00,2019-12-02 22:37:26.570000+00:00,2019-12-02 22:37:26.570000+00:00,JUNK_FRAME
297,2019-12-02 22:37:26.570000+00:00,2019-12-02 22:37:26.625000+00:00,2019-12-02 22:37:26.625000+00:00,JUNK_FRAME
298,2019-12-02 22:37:26.626000+00:00,2019-12-02 22:37:26.678000+00:00,2019-12-02 22:37:26.678000+00:00,JUNK_FRAME
299,2019-12-02 22:37:26.678000+00:00,2019-12-02 22:37:26.732000+00:00,2019-12-02 22:37:26.732000+00:00,JUNK_FRAME
300,2019-12-02 22:37:26.732000+00:00,2019-12-02 22:37:26.782000+00:00,2019-12-02 22:37:26.782000+00:00,JUNK_FRAME
302,2019-12-02 22:37:26.782000+00:00,2019-12-02 22:37:26.834000+00:00,2019-12-02 22:37:26.834000+00:00,JUNK_FRAME
303,2019-12-02 22:37:26.834000+00:00,2019-12-02 22:37:26.888000+00:00,2019-12-02 22:37:26.888000+00:00,JUNK_FRAME
304,2019-12-02 22:37:26.888000+00:00,2019-12-02 22:37:26.943000+00:00,2019-12-02 22:37:26.943000+00:00,JUNK_FRAME
305,2019-12-02 22:37:26.943000+00:00,2019-12-02 22:37:26.997000+00:00,2019-12-02 22:37:26.997000+00:00,JUNK_FRAME
307,2019-12-02 22:37:26.998000+00:00,2019-12-02 22:37:27.046000+00:00,2019-12-02 22:37:27.046000+00:00,JUNK_FRAME
308,2019-12-02 22:37:27.046000+00:00,2019-12-02 22:37:27.095000+00:00,2019-12-02 22:37:27.095000+00:00,JUNK_FRAME
309,2019-12-02 22:37:27.095000+00:00,2019-12-02 22:37:27.144000+00:00,2019-12-02 22:37:27.144000+00:00,JUNK_FRAME
310,2019-12-02 22:37:27.144000+00:00,2019-12-02 22:37:27.201000+00:00,2019-12-02 22:37:27.201000+00:00,JUNK_FRAME
312,2019-12-02 22:37:27.201000+00:00,2019-12-02 22:37:27.258000+00:00,2019-12-02 22:37:27.258000+00:00,JUNK_FRAME
313,2019-12-02 22:37:27.258000+00:00,2019-12-02 22:37:27.307000+00:00,2019-12-02 22:37:27.307000+00:00,JUNK_FRAME
314,2019-12-02 22:37:27.307000+00:00,2019-12-02 22:37:27.359000+00:00,2019-12-02 22:37:27.359000+00:00,JUNK_FRAME
315,2019-12-02 22:37:27.359000+00:00,2019-12-02 22:37:27.423000+00:00,2019-12-02 22:37:27.423000+00:00,JUNK_FRAME
317,2019-12-02 22:37:27.423000+00:00,2019-12-02 22:37:27.472000+00:00,2019-12-02 22:37:27.472000+00:00,JUNK_FRAME
318,2019-12-02 22:37:27.472000+00:00,2019-12-02 22:37:27.524000+00:00,2019-12-02 22:37:27.524000+00:00,JUNK_FRAME
319,2019-12-02 22:37:27.524000+00:00,2019-12-02 22:37:27.574000+00:00,2019-12-02 22:37:27.574000+00:00,JUNK_FRAME
321,2019-12-02 22:37:27.574000+00:00,2019-12-02 22:37:27.633000+00:00,2019-12-02 22:37:27.633000+00:00,JUNK_FRAME
322,2019-12-02 22:37:27.634000+00:00,2019-12-02 22:37:27.687000+00:00,2019-12-02 22:37:27.688000+00:00,JUNK_FRAME
323,2019-12-02 22:37:27.688000+00:00,2019-12-02 22:37:27.762000+00:00,2019-12-02 22:37:27.762000+00:00,JUNK_FRAME
325,2019-12-02 22:37:27.763000+00:00,2019-12-02 22:37:27.823000+00:00,2019-12-02 22:37:27.823000+00:00,JUNK_FRAME
327,2019-12-02 22:37:27.824000+00:00,2019-12-02 22:37:27.895000+00:00,2019-12-02 22:37:27.895000+00:00,JUNK_FRAME
328,2019-12-02 22:37:27.895000+00:00,2019-12-02 22:37:27.947000+00:00,2019-12-02 22:37:27.947000+00:00,JUNK_FRAME
330,2019-12-02 22:37:27.947000+00:00,2019-12-02 22:37:28+00:00,2019-12-02 22:37:28+00:00,JUNK_FRAME
331,2019-12-02 22:37:28+00:00,2019-12-02 22:37:28.051000+00:00,2019-12-02 22:37:28.051000+00:00,JUNK_FRAME
332,2019-12-02 22:37:28.051000+00:00,2019-12-02 22:37:28.103000+00:00,2019-12-02 22:37:28.103000+00:00,JUNK_FRAME
333,2019-12-02 22:37:28.103000+00:00,2019-12-02 22:37:28.154000+00:00,2019-12-02 22:37:28.154000+00:00,JUNK_FRAME
335,2019-12-02 22:37:28.154000+00:00,2019-12-02 22:37:28.207000+00:00,2019-12-02 22:37:28.208000+00:00,JUNK_FRAME
336,2019-12-02 22:37:28.208000+00:00,2019-12-02 22:37:28.290000+00:00,2019-12-02 22:37:28.290000+00:00,SUCCESS
338,2019-12-02 22:37:28.322000+00:00,2019-12-02 22:37:28.394000+00:00,2019-12-02 22:37:28.394000+00:00,NO_CHANGE
340,2019-12-02 22:37:28.394000+00:00,2019-12-02 22:37:28.462000+00:00,2019-12-02 22:37:28.462000+00:00,NO_CHANGE
342,2019-12-02 22:37:28.462000+00:00,2019-12-02 22:37:28.539000+00:00,2019-12-02 22:37:28.539000+00:00,NO_CHANGE
344,2019-12-02 22:37:28.539000+00:00,2019-12-02 22:37:28.613000+00:00,2019-12-02 22:37:28.613000+00:00,NO_CHANGE
345,2019-12-02 22:37:28.613000+00:00,2019-12-02 22:37:28.684000+00:00,2019-12-02 22:37:28.684000+00:00,NO_CHANGE
347,2019-12-02 22:37:28.684000+00:00,2019-12-02 22:37:28.756000+00:00,2019-12-02 22:37:28.756000+00:00,NO_CHANGE
349,2019-12-02 22:37:28.756000+00:00,2019-12-02 22:37:28.830000+00:00,2019-12-02 22:37:28.830000+00:00,NO_CHANGE
351,2019-12-02 22:37:28.830000+00:00,2019-12-02 22:37:28.898000+00:00,2019-12-02 22:37:28.898000+00:00,NO_CHANGE
352,2019-12-02 22:37:28.898000+00:00,2019-12-02 22:37:28.971000+00:00,2019-12-02 22:37:28.971000+00:00,NO_CHANGE
354,2019-12-02 22:37:28.971000+00:00,2019-12-02 22:37:29.040000+00:00,2019-12-02 22:37:29.041000+00:00,NO_CHANGE
356,2019-12-02 22:37:29.041000+00:00,2019-12-02 22:37:29.105000+00:00,2019-12-02 22:37:29.106000+00:00,NO_CHANGE
357,2019-12-02 22:37:29.106000+00:00,2019-12-02 22:37:29.174000+00:00,2019-12-02 22:37:29.174000+00:00,NO_CHANGE
359,2019-12-02 22:37:29.174000+00:00,2019-12-02 22:37:29.241000+00:00,2019-12-02 22:37:29.241000+00:00,NO_CHANGE
361,2019-12-02 22:37:29.241000+00:00,2019-12-02 22:37:29.313000+00:00,2019-12-02 22:37:29.313000+00:00,NO_CHANGE
362,2019-12-02 22:37:29.313000+00:00,2019-12-02 22:37:29.385000+00:00,2019-12-02 22:37:29.385000+00:00,NO_CHANGE
364,2019-12-02 22:37:29.386000+00:00,2019-12-02 22:37:29.454000+00:00,2019-12-02 22:37:29.454000+00:00,NO_CHANGE
366,2019-12-02 22:37:29.455000+00:00,2019-12-02 22:37:29.525000+00:00,2019-12-02 22:37:29.525000+00:00,NO_CHANGE
367,2019-12-02 22:37:29.525000+00:00,2019-12-02 22:37:29.599000+00:00,2019-12-02 22:37:29.599000+00:00,NO_CHANGE
369,2019-12-02 22:37:29.599000+00:00,2019-12-02 22:37:29.669000+00:00,2019-12-02 22:37:29.669000+00:00,NO_CHANGE
371,2019-12-02 22:37:29.669000+00:00,2019-12-02 22:37:29.738000+00:00,2019-12-02 22:37:29.738000+00:00,NO_CHANGE
373,2019-12-02 22:37:29.738000+00:00,2019-12-02 22:37:29.807000+00:00,2019-12-02 22:37:29.807000+00:00,NO_CHANGE
374,2019-12-02 22:37:29.807000+00:00,2019-12-02 22:37:29.875000+00:00,2019-12-02 22:37:29.875000+00:00,NO_CHANGE
376,2019-12-02 22:37:29.875000+00:00,2019-12-02 22:37:29.947000+00:00,2019-12-02 22:37:29.947000+00:00,NO_CHANGE
378,2019-12-02 22:37:29.948000+00:00,2019-12-02 22:37:30.016000+00:00,2019-12-02 22:37:30.016000+00:00,NO_CHANGE
379,2019-12-02 22:37:30.016000+00:00,2019-12-02 22:37:30.083000+00:00,2019-12-02 22:37:30.083000+00:00,NO_CHANGE
381,2019-12-02 22:37:30.083000+00:00,2019-12-02 22:37:30.148000+00:00,2019-12-02 22:37:30.148000+00:00,NO_CHANGE
382,2019-12-02 22:37:30.148000+00:00,2019-12-02 22:37:30.218000+00:00,2019-12-02 22:37:30.218000+00:00,NO_CHANGE
384,2019-12-02 22:37:30.218000+00:00,2019-12-02 22:37:30.285000+00:00,2019-12-02 22:37:30.285000+00:00,NO_CHANGE
386,2019-12-02 22:37:30.286000+00:00,2019-12-02 22:37:30.354000+00:00,2019-12-02 22:37:30.354000+00:00,NO_CHANGE
387,2019-12-02 22:37:30.354000+00:00,2019-12-02 22:37:30.426000+00:00,2019-12-02 22:37:30.426000+00:00,NO_CHANGE
389,2019-12-02 22:37:30.426000+00:00,2019-12-02 22:37:30.495000+00:00,2019-12-02 22:37:30.495000+00:00,NO_CHANGE
391,2019-12-02 22:37:30.495000+00:00,2019-12-02 22:37:30.562000+00:00,2019-12-02 22:37:30.562000+00:00,NO_CHANGE
392,2019-12-02 22:37:30.562000+00:00,2019-12-02 22:37:30.632000+00:00,2019-12-02 22:37:30.632000+00:00,NO_CHANGE
394,2019-12-02 22:37:30.632000+00:00,2019-12-02 22:37:30.701000+00:00,2019-12-02 22:37:30.701000+00:00,NO_CHANGE
396,2019-12-02 22:37:30.702000+00:00,2019-12-02 22:37:30.768000+00:00,2019-12-02 22:37:30.768000+00:00,NO_CHANGE
